Hour (PT),IP range,Total requests,4xx/5xx HTTP error count,API-level error count,afriex AWS?
2021-09-06 05:00,3.8.0.0/14,458908,0,0,
2021-09-06 05:00,18.168.0.0/14,363630,0,0,
2021-09-06 05:00,18.132.0.0/14,137,0,0,
2021-09-06 06:00,18.168.0.0/14,226728,0,0,
2021-09-06 06:00,35.178.0.0/15,225959,0,0,
2021-09-06 06:00,3.8.0.0/14,152679,0,0,
2021-09-06 06:00,18.132.0.0/14,22,0,0,
2021-09-06 07:00,35.178.0.0/15,193963,9,9,
2021-09-06 07:00,3.8.0.0/14,31,0,0,
2021-09-06 08:00,3.8.0.0/14,5,0,0,
2021-09-06 08:00,18.168.0.0/14,2,0,0,
2021-09-06 12:00,3.8.0.0/14,8,0,0,
2021-09-06 22:00,3.8.0.0/14,5,0,0,
2021-09-06 23:00,3.8.0.0/14,28,0,0,
2021-09-06 23:00,18.168.0.0/14,16,0,0,
2021-09-07 00:00,3.8.0.0/14,15,0,0,
2021-09-07 00:00,18.168.0.0/14,8,0,0,
2021-09-07 00:00,52.56.0.0/16,6,0,0,
2021-09-07 00:00,35.176.0.0/15,2,0,0,
2021-09-07 01:00,52.56.0.0/16,67,0,0,
2021-09-07 01:00,35.176.0.0/15,14,0,0,
2021-09-07 01:00,35.178.0.0/15,1,0,0,
2021-09-07 02:00,52.56.0.0/16,57,0,0,
2021-09-07 02:00,35.176.0.0/15,18,0,0,
2021-09-07 02:00,3.8.0.0/14,2,0,0,
2021-09-07 03:00,52.56.0.0/16,28,0,0,
2021-09-07 03:00,3.8.0.0/14,4,0,0,
2021-09-07 04:00,35.178.0.0/15,19,0,0,
2021-09-07 04:00,52.56.0.0/16,8,0,0,
2021-09-07 04:00,18.168.0.0/14,6,0,0,
2021-09-07 04:00,3.8.0.0/14,1,0,0,
2021-09-07 05:00,18.168.0.0/14,28,0,0,
2021-09-07 05:00,35.178.0.0/15,19,0,0,
2021-09-07 05:00,3.8.0.0/14,10,0,0,
2021-09-07 06:00,18.168.0.0/14,23,0,0,
2021-09-07 06:00,18.132.0.0/14,22,0,0,
2021-09-07 06:00,35.178.0.0/15,18,0,0,
2021-09-07 07:00,3.8.0.0/14,45,0,0,
2021-09-07 07:00,18.168.0.0/14,45,0,0,
2021-09-07 07:00,35.178.0.0/15,9,0,0,
2021-09-07 07:00,18.132.0.0/14,9,0,0,
2021-09-07 08:00,18.168.0.0/14,9,0,0,
2021-09-07 08:00,3.8.0.0/14,2,0,0,
2021-09-07 08:00,35.176.0.0/15,1,0,0,
2021-09-07 09:00,52.56.0.0/16,1,0,0,
2021-09-07 12:00,18.168.0.0/14,5,0,0,
2021-09-07 13:00,18.168.0.0/14,25,0,0,
2021-09-07 21:00,18.168.0.0/14,6,0,0,
2021-09-07 22:00,18.132.0.0/14,32,0,0,
2021-09-07 22:00,18.168.0.0/14,10,0,0,
2021-09-07 23:00,18.168.0.0/14,9,0,0,
2021-09-07 23:00,3.8.0.0/14,5,0,0,
2021-09-08 00:00,3.8.0.0/14,36,0,0,
2021-09-08 00:00,52.56.0.0/16,4,0,0,
2021-09-08 01:00,18.132.0.0/14,12,0,0,
2021-09-08 01:00,3.8.0.0/14,10,0,0,
2021-09-08 01:00,18.168.0.0/14,2,0,0,
2021-09-08 01:00,52.56.0.0/16,2,0,0,
2021-09-08 02:00,18.168.0.0/14,35,0,0,
2021-09-08 02:00,18.132.0.0/14,21,0,0,
2021-09-08 02:00,3.8.0.0/14,1,0,0,
2021-09-08 03:00,18.132.0.0/14,27,0,0,
2021-09-08 03:00,35.176.0.0/15,4,0,0,
2021-09-08 03:00,3.8.0.0/14,1,0,0,
2021-09-08 04:00,3.8.0.0/14,42,0,0,
2021-09-08 04:00,18.132.0.0/14,1,0,0,
2021-09-08 05:00,3.8.0.0/14,50,0,0,
2021-09-08 05:00,18.132.0.0/14,21,0,0,
2021-09-08 06:00,3.8.0.0/14,10,0,0,
2021-09-08 07:00,3.8.0.0/14,298473,0,0,
2021-09-08 07:00,18.132.0.0/14,236155,0,0,
2021-09-08 07:00,52.56.0.0/16,21,0,0,
2021-09-08 08:00,3.8.0.0/14,539772,0,0,
2021-09-08 08:00,35.178.0.0/15,275585,0,0,
2021-09-08 08:00,18.132.0.0/14,62141,0,0,
2021-09-08 08:00,52.56.0.0/16,7,0,0,
2021-09-08 09:00,3.8.0.0/14,542369,22,22,
2021-09-08 09:00,18.132.0.0/14,215803,14,14,
2021-09-08 09:00,35.178.0.0/15,176319,0,0,
2021-09-08 10:00,3.8.0.0/14,546212,79,79,
2021-09-08 10:00,18.132.0.0/14,455469,79,79,
2021-09-08 11:00,3.8.0.0/14,547789,7,7,
2021-09-08 11:00,18.132.0.0/14,443716,8,8,
2021-09-08 12:00,3.8.0.0/14,544210,84,84,
2021-09-08 12:00,18.132.0.0/14,446406,69,69,
2021-09-08 13:00,3.8.0.0/14,554699,99,99,
2021-09-08 13:00,18.132.0.0/14,457304,49,49,
2021-09-08 14:00,3.8.0.0/14,551882,59,59,
2021-09-08 14:00,18.132.0.0/14,455944,51,51,
2021-09-08 15:00,3.8.0.0/14,549098,3,3,
2021-09-08 15:00,18.132.0.0/14,459164,2,2,
2021-09-08 16:00,3.8.0.0/14,555131,0,0,
2021-09-08 16:00,18.132.0.0/14,451176,0,0,
2021-09-08 17:00,3.8.0.0/14,552621,0,0,
2021-09-08 17:00,18.132.0.0/14,452064,0,0,
2021-09-08 18:00,3.8.0.0/14,558948,0,0,
2021-09-08 18:00,18.132.0.0/14,452482,0,0,
2021-09-08 19:00,3.8.0.0/14,558675,0,0,
2021-09-08 19:00,18.132.0.0/14,452669,0,0,
2021-09-08 20:00,3.8.0.0/14,557792,2,2,
2021-09-08 20:00,18.132.0.0/14,451476,1,1,
2021-09-08 21:00,3.8.0.0/14,552026,132,132,
2021-09-08 21:00,18.132.0.0/14,455515,86,86,
2021-09-08 22:00,3.8.0.0/14,544723,246,246,
2021-09-08 22:00,18.132.0.0/14,451316,197,197,
2021-09-08 23:00,3.8.0.0/14,534181,639,639,
2021-09-08 23:00,18.132.0.0/14,452951,592,592,
2021-09-09 00:00,52.56.0.0/16,439479,243,243,
2021-09-09 00:00,18.132.0.0/14,391619,237,237,
2021-09-09 00:00,3.8.0.0/14,82979,28,28,
2021-09-09 00:00,18.168.0.0/14,13,0,0,
2021-09-09 01:00,52.56.0.0/16,8324,10,10,
2021-09-09 01:00,18.168.0.0/14,41,0,0,
2021-09-09 01:00,3.8.0.0/14,19,0,0,
2021-09-09 02:00,18.168.0.0/14,46,0,0,
2021-09-09 02:00,52.56.0.0/16,1,0,0,
2021-09-09 03:00,18.168.0.0/14,36,0,0,
